Tensile Modulus (MPa),Tensile Strength (MPa),Flexural strength (MPa),Flexural Modulus (MPa),Glass Transition Temperature (degree celsius),Shore Hardness D (),Density (g/cm3)
Tensile Modulus (MPa),Tensile Strength (MPa),Flexural strength (MPa),Flexural Modulus (MPa),Glass Transition Temperature (degree celsius),Shore Hardness D (),Density (g/cm3)
2000,,,,,,
2030,,,,,,
95,24,,,,,
1550,22,,,,,
2020,,69,2050,,,
3120,,,,57,,
4000,,125,3800,146.5,84.5,1.3
1625,38,56.5,1520,60,80,1.19
3390,65.5,111.5,3080,62,86,1.23
3290,65.5,99,2965,56,85,1.2
2895,63,94,2850,58,86,1.21
2200,43.5,69.5,2200,62,86,1.16
2100,43.5,65.5,2150,62,86.5,1.16
3755,30,106,3686.5,103,87,1.23
9650,67,139,9050,77,92,1.78
2555,52.5,83,2325,70,85,1.17
2145,46.5,82,2340,57,87,1.15
9570,82.5,141,8320,109,89,1.62
2455,49.5,78,2145,62,80,1.17
2095,40,74.5,2095,56,86,1.15
1625,38,56.5,1550,60,80,1.19
9350,77.5,147,9450,,80,1.61
4505,67.5,101.5,4485,104,86,1.36
2490,53,98,2235,,80,
2130,41,65,2010,,,
1010,22,33,1250,58,72,1.18
2992,60,114.5,3182,82,88,1.25
1315,45,,,52,75,1.18
1885,41,61.5,1795,,,1.19
2465,47.5,77,2450,52,76,1.18
1604,2.84,,,89,,
1517,48,46,1310,,74,
8.3,2.05,,6.85,,,
2040,41,62,1770,,76,1.02
4068,26.5,37,3106,,77,1.49
4312.5,41,76.5,3587.5,,75,
1586,43,48,1387,,73,
4340,37,64,3710,,78,1.31
1570,43,51,1360,,76,1.02
1578.5,45,56,1436,,77,1.02
2010,45,61,1720,,77,1.03
3720,45,60,3120,,73,1.33
4123,44,75,3430,,73,1.12
1770,47,63,1650,,73,0.95
5.3,2.1,,6,,,0.78
3.7,3.9,,,-24,,1.13
1330,41,41,1120,19,76,1.15
355,14,14,577,-1,68,1.18
2800,67,100,2840,82,83,1.13
1860,44,64,2020,57,79,1.12
2765,72,114,2890,83,85,1.16
3.6,3.6,,,-26,,1.13
1400,46,37,990,18,76,1.15
840,36,22,680,11,68,1.18
4000,81,140,4260,,89,1.3
262,13.7,,,,68,1.18
2760,69,111,2800,110,84,1.2
2320,63,92,2290,62,79,1.16
434,19,,,21,59,1.17
1780,40,61,1650,46,79,1.11
2180,50,75,2070,58,81,1.11
2120,48,73,1960,55,82,1.12
,1050,,,,,
,1100,,,,,
180,610,,,,,
172500,665,,,,,7.976
62,400,,,,,
,480,,,,,
71000,390,,,,,2.67
,1200,,,,,
225000,1045,,,,,
,1230,,,,,8.1
,1110,,,,,
,1035,,,,,
195000,1070,,,,,8.43
,930,,,,,
112500,500,,,,,
115000,1070,,,,,
112500,1160,,,,,
1750,32.5,42.5,,,70,
0.35,0.3,,,,,1.12
0.35,0.3,,,,,1.12
2550,48.5,69.5,1950,,80.5,1.18
2442,58,65,,,83,
2414,56,66,,,83,
154,2.2,3,,,,
1288,28,38,,,,
1700,30,40,,,,
,,,,,,
0.35,0.3,,,,,1.12
0.35,0.3,,,,,1.12
,,,,,,
850,33,52,1200,,78.5,1.19
1300,45,78,2000,,78.5,1.18
1300,42,64,1700,,78.5,1.19
1750,40,55,,,77,1.16
2750,65,95,,,,
1594,35.2,44.5,,,,
,,,,,,
1463,42.4,49,,,,
1724,32,45,,,,
,,,,,,
735,20.5,28.1,,,,
1794,40,,,,,
1724,32,45,,,,
1108,26.2,26.6,,,,
1850,41,51,,,,
866,22.1,28.1,,,,
2168,49,65,,,,
1555,32.8,43.8,,,,
1267,31,39,,,,
1925,39.4,51.4,,,,
300,17.5,,,,60,
22570,9.2,11.7,4833,,,
2150,45,76,2350,62,86,1.15
2560,52,83,2330,70,85,1.17
1630,38,57,1550,60,80,1.19
1620,38,57,1420,60,80,1.19
3390,66,112,3080,62,86,1.23
2626,48,74,2390,65,80,1.18
1910,40,61,1824,58,72,1.18
1890,41,62,1850,52,86,1.19
2280,,68,2300,,,1.05
1775,31.3,,1509,100,65.2,1.037
1121,24.3,,856,107,66.7,1.03
2080,,75.5,2210,,,1.05
3000,45,67,3640,,72,1.4
2100,62,85,2300,,76,1.3
350,45,,,,46,1.1
350,45,,,,46,1.1
4100,105,130,3900,143,85,1.26
3200,85,160,3300,,,1.27
4015,52.9,,2987,76,76.4,1.317
3000,53,171,2040,80,,1.29
3585,127.5,,,,,1.24
2340,69.6,91,2410,220,,1.29
67,17.7,,66,,,1.222
,,90,,,,3.05
360800,,400,,,,3.9
209400,,1088,,,,5.97
200000,,500,,,,5.75
200000,,1150,,,,5.9
70,8,7,65,,,1
1950,42,76,1985,105,,1.05
2010,43,78,1956,104,,1.07
1350,40,70,1600,100,,1.04
2200,59,86,2370,137,,1.14
2100,55,85,2205,126,,1.15
1654,45,72,1610,80,,1.24
2410,62,78,2200,147,,1.2
1400,47,75,1645,80,,1.28
3300,109,135,3100,165,,1.34
2560,55,95,2980,60,,1.26
2600,55,55,2650,83,,1.34
2635,55,55,1900,158,,1.84
2131,42,80,2274,105,,1.09
2300,68,95,2410,143,,1.24
1794,46,74,1779,80,,1.28
1400,70,50,1450,80,,1.28
2710,62,115,2690,217,,1.34
2005,47,80,2200,100,,1.09
3800,63,84,3750,70,,1.17
8100,105,136,8300,143,,1.39
9560,115,135,9850,165,,1.38
8210,105,124,830,165,,1.38
6200,70,90,5890,143,,1.36
4018,44,76,5260,105,,1.11
4928,55.5,80,5740,80,,1.34
4791,47.9,114,6320,60,,1.29
7700,145,120,7500,217,,1.31
2865,56,115,3185,60,,1.24
1990,45,80,2250,105,,1.18
2450,51,50,1800,170,,1.71
3285,55,77,3320,80,,1.41
,,,,,,
2218,51,80,2380,110,,1.27
3720,100,130,2700,143,,1.3
2500,56,110,2510,217,,1.27
2050,54,90,2170,186,,1.34
3200,105,134,2900,165,,1.29
2650,50,52,2540,283,,1.28
2310,55,110,2215,230,,1.28
2100,52,87,2050,187,,1.24
3800,58,90,3600,,,1.26
,,,,,,
,,,,,,
,,2330,89.94,,75,
,,89.15,1907,,80,
,,2397,95,,78,
,9.16,,,,,
,1.3,,,,,1.083
1500,30,,,,,1
,,,,,84,1.12
,,,,,82.5,1.16
,,,,,79,1.1
,,,,,84,1.15
,,,,,,1.1
,,,,,80,1.15
,,,,,90,1.12
2200,52,80,2000,80,81.5,1.12
,,,,,89,1.13
,,,,,84.5,1.14
,,,,,77.5,1.05
2300,50,82,2200,88,83.5,1.12
2131,42,80,2274,105,,1.09
,46.4,,,,,1.04
6000,100,,,,,1
,50,68,2027,,,1.23
,64.4,85,3100,58,,1.24
,38.6,,,,,
,,,,,,
,12.8,,,,55,0.89
,23.8,,,-35,,
,1015,,,,,
,1385,,,,,
,1015,,,,,
,1329.5,,,,,
,1079.5,,,,,
,1329.5,,,,,
,1079.5,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,26.1,,,,
,,,,,,
,60,,,,77.5,
,48.5,,,65,82.5,1.15
,16.5,,,,67.5,
,11,,,,47.5,
,4.75,,,,,
,0.35,,,,,
,0.75,,,,,
,1.5,,,,,
1580,39,,,,,1.11
,31.5,,,,82.5,
,32.5,,,,82.5,
,28.5,,,,82.5,
4000,59,,,,,
2062.5,29.5,,,57.5,,1.04
2434,,,,55,,1.21
2286,39,,,126.5,,1.163
1875.5,34.5,,,,,1.257
2741,39,,,,,1.177
,,,,,,1.027
5569.5,59.5,,,,,1.186
3338.5,34.5,,,,,1.328
,48,,,129.5,,1.144
3401,43,,,128.5,,1.251
2983.5,38.5,,,,,1.251
4668,56.5,,,60,,1.319
4028.5,50,,,67,,1.298
4668,56.5,,,60,,1.319
4028.5,50,,,67,,1.298
,,,,,,1.183
,,,,,,1.13
,41,,,,,1.145
2088,36.5,,,81,,1.276
,,,,,,1.255
582,16,,,,,0.904
666.5,17,,,,,0.908
651,15.5,,,,,
,,,,,,1.112
,,,,,,1.249
2380,80,100,3200,,86,
2200,65,80,2450,,83.5,
2300,64,84,2500,,84.5,
1.1,1.7,,,,,
1800,49,70,2225,,81,
1670,44,68,1840,,83,
1600,39,62,1650,,80,
2000,51,80,2300,,84,
1380,26,47,1430,,79,
2650,57,89,2430,,85,
1850,53,78,2350,,81,
2730,60,98,2710,,84,
2730,60,98,2710,,84,
2370,51,87,2260,,87,
2120,43,66,1710,,81,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
,,,,,,
